Date,Open,High,Low,Close,Shares Traded,Turnover (â‚¹ Cr),Daily Returns
18-Jan-23,18074.3,18183.75,18032.45,18165.35,255840928,20500.07,
19-Jan-23,18119.8,18155.2,18063.75,18107.85,237833991,18413.13,-0.0031653670311885262
20-Jan-23,18115.6,18145.45,18016.2,18027.65,237225269,19519.96,-0.004429018353918179
23-Jan-23,18118.45,18162.6,18063.45,18118.55,202460434,17060.12,0.005042254536780977
24-Jan-23,18183.95,18201.25,18078.65,18118.3,216910302,19705.91,-1.3798013637988937e-05
25-Jan-23,18093.35,18100.6,17846.15,17891.95,257227052,20890.56,-0.012492893924926696
27-Jan-23,17877.2,17884.75,17493.55,17604.35,476342611,40104.83,-0.016074268036742945
30-Jan-23,17541.95,17709.15,17405.55,17648.95,432434028,38159.88,0.0025334647402490695
31-Jan-23,17731.45,17735.7,17537.55,17662.15,398338541,35023.7,0.0007479198479229954
1-Feb-23,17811.6,17972.2,17353.4,17616.3,512870802,38486.19,-0.0025959466995808533
2-Feb-23,17517.1,17653.9,17445.95,17610.4,490113567,37639.96,-0.0003349170938277135
3-Feb-23,17721.75,17870.3,17584.2,17854.05,424123037,34503.67,0.0138355744332892
6-Feb-23,17818.55,17823.7,17698.35,17764.6,282544790,21864.88,-0.005010067743733249
7-Feb-23,17790.1,17811.15,17652.55,17721.5,354395693,23611.08,-0.00242617340103346
8-Feb-23,17750.3,17898.7,17744.15,17871.7,290994265,23733.4,0.008475580509550662
9-Feb-23,17885.5,17916.9,17779.8,17893.45,260854055,21529.97,0.0012170078951638796
10-Feb-23,17847.55,17876.95,17801.0,17856.5,231991834,17063.99,-0.0020650014390740656
13-Feb-23,17859.1,17880.7,17719.75,17770.9,231276483,17406.31,-0.004793772575812594
14-Feb-23,17840.35,17954.55,17800.05,17929.85,244512944,20579.8,0.008944397863923426
15-Feb-23,17896.6,18034.1,17853.8,18015.85,229273800,21457.34,0.004796470689938825
16-Feb-23,18094.75,18134.75,18000.65,18035.85,230246175,18891.55,0.0011101335768226583
17-Feb-23,17974.85,18034.25,17884.6,17944.2,208053929,16998.33,-0.005081545921040487
20-Feb-23,17965.55,18004.35,17818.4,17844.6,174563233,14729.07,-0.0055505400073562194
21-Feb-23,17905.8,17924.9,17800.3,17826.7,198248205,15593.09,-0.0010031045806573324
22-Feb-23,17755.35,17772.5,17529.45,17554.3,204021979,17162.09,-0.01528045011134993
23-Feb-23,17574.65,17620.05,17455.4,17511.25,240807918,19313.68,-0.00245239058236435
24-Feb-23,17591.35,17599.75,17421.8,17465.8,209406363,16100.18,-0.0025954743379256184
27-Feb-23,17428.6,17451.6,17299.0,17392.7,246448847,16638.41,-0.004185322172474137
28-Feb-23,17383.25,17440.45,17255.2,17303.95,420881259,32959.77,-0.005102715507080524
1-Mar-23,17360.1,17467.75,17345.25,17450.9,272881409,19784.53,0.008492280664241347
2-Mar-23,17421.5,17445.8,17306.0,17321.9,310669094,22068.68,-0.007392168885272388
3-Mar-23,17451.25,17644.75,17427.7,17594.35,356169518,24143.96,0.015728644086387522
6-Mar-23,17680.35,17799.95,17671.95,17711.45,362801096,26959.41,0.006655545672332508
8-Mar-23,17665.75,17766.5,17602.25,17754.4,267041402,23155.56,0.002424984967351662
9-Mar-23,17772.05,17772.35,17573.6,17589.6,262352056,21964.17,-0.009282206101023038
10-Mar-23,17443.8,17451.5,17324.35,17412.9,235927570,19794.73,-0.010045708827943645
13-Mar-23,17421.9,17529.9,17113.45,17154.3,254914657,22860.67,-0.014851058697862074
14-Mar-23,17160.55,17224.65,16987.1,17043.3,290604200,26057.6,-0.006470680820552244
15-Mar-23,17166.45,17211.35,16938.9,16972.15,248188970,22659.09,-0.004174661010484915
16-Mar-23,16994.65,17062.45,16850.15,16985.6,349820607,24198.71,0.0007924747306615743
17-Mar-23,17111.8,17145.8,16958.15,17100.05,408121255,30478.42,0.006738060474755114
20-Mar-23,17066.6,17066.6,16828.35,16988.4,241777405,21454.09,-0.0065292206747932235
21-Mar-23,17060.4,17127.7,17016.0,17107.5,246737873,22039.11,0.007010666101575191
22-Mar-23,17177.45,17207.25,17107.85,17151.9,185700457,15712.0,0.0025953529153881494
23-Mar-23,17097.4,17205.4,17045.3,17076.9,219171517,19676.97,-0.0043726934042293
24-Mar-23,17076.2,17109.45,16917.35,16945.05,228038299,19019.88,-0.007720956379670962
27-Mar-23,16984.3,17091.0,16918.55,16985.7,218418670,18466.56,0.0023989306611666983
28-Mar-23,17031.75,17061.75,16913.75,16951.7,238840919,20942.5,-0.0020016837692883316
29-Mar-23,16977.3,17126.15,16940.6,17080.7,345911087,27261.74,0.0076098562386073265
31-Mar-23,17210.35,17381.6,17204.65,17359.75,263889033,24970.98,0.016337152458622883
3-Apr-23,17427.95,17428.05,17312.75,17398.05,230170687,20359.58,0.0022062529702329137
5-Apr-23,17422.3,17570.55,17402.7,17557.05,248345193,23911.75,0.009138955227740997
6-Apr-23,17533.85,17638.7,17502.85,17599.15,242708337,23543.21,0.002397897141034555
10-Apr-23,17634.9,17694.1,17597.95,17624.05,254819382,21092.06,0.0014148410576646508
11-Apr-23,17704.8,17748.75,17655.15,17722.3,304263454,25841.64,0.005574768569085897
12-Apr-23,17759.55,17825.75,17717.25,17812.4,232816318,22851.93,0.005083990227002344
13-Apr-23,17807.3,17842.15,17729.65,17828.0,285764798,26460.2,0.0008757943904245113
